company_name,market_cap,sector,country,industry,isin,symbol
NOVO NORDISK B A/S,304594585271,Health technology,Denmark,Pharmaceuticals: major,DK0062498333,NOVO-B.CO
SAP SE O.N.,301853928004,Technology services,Germany,Packaged software,DE0007164600,SAP.DE
LVMH,298877465039,Consumer non-durables,France,Apparel/Footwear,FR0000121014,MC.PA
HERMES INTL,262864820190,Consumer non-durables,France,Apparel/Footwear,FR0000052292,RMS.PA
ASML HOLDING,261559500887,Electronic technology,Netherlands,Semiconductors,NL0010273215,ASML.AS
ROCHE I,258576146841,Health technology,Switzerland,Pharmaceuticals: major,CH0012032113,RO.SW
NESTLE N,239533632631,Consumer non-durables,Switzerland,Food: major diversified,CH0038863350,NESN.SW
ASTRAZENECA PLC ORD USD0.25,210486536140,Health technology,United Kingdom,Pharmaceuticals: major,GB0009895292,AZN.L
SHELL PLC ORD EUR0.07,198920357115,Energy minerals,United Kingdom,Integrated oil,GB00BP6MXD84,SHEL.L
NOVARTIS N,195372242656,Health technology,Switzerland,Pharmaceuticals: major,CH0012005267,NOVN.SW
HSBC HOLDINGS PLC ORD USD0.50,189401914235,Finance,United Kingdom,Major banks,GB0005405286,HSBA.L
L'OREAL,185002848966,Consumer non-durables,France,Household/Personal care,FR0000120321,OR.PA
SIEMENS AG NA O.N.,179272368401,Producer manufacturing,Germany,Industrial machinery,DE0007236101,SIE.DE
DT.TELEKOM AG NA,166062328680,Communications,Germany,Major telecommunications,DE0005557508,DTE.DE
INDUSTRIA DE DISENO TEXTIL S.A. INDITEX,144509929973,Retail trade,Spain,Apparel/Footwear retail,ES0148396007,ITX.MC
ALLIANZ SE NA O.N.,137464618868,Finance,Germany,Multi-line insurance,DE0008404005,ALV.DE
AIRBUS SE,136391769606,Electronic technology,Netherlands,Aerospace & defense,NL0000235190,AIR.PA
UNILEVER PLC ORD GBP0.031111,135135823707,Consumer non-durables,United Kingdom,Household/Personal care,GB00B10RZP78,ULVR.L
SCHNEIDER ELECTRIC SE,131300436401,Producer manufacturing,France,Electrical products,FR0000121972,SU.PA
SANOFI,127089793830,Health technology,France,Pharmaceuticals: major,FR0000120578,SAN.PA
ESSILORLUXOTTICA,126487673405,Health technology,France,Medical specialties,FR0000121667,EL.PA
TOTALENERGIES,124506559690,Energy minerals,France,Integrated oil,FR0000120271,TTE.PA
AB INBEV,112994796086,Consumer non-durables,Belgium,Beverages: alcoholic,BE0974293251,ABI.BR
SAFRAN,105813016167,Electronic technology,France,Aerospace & defense,FR0000073272,SAF.PA
AIR LIQUIDE,103132796144,Process industries,France,Chemicals: specialty,FR0000120073,AI.PA
CHRISTIAN DIOR,100218079132,Consumer non-durables,France,Consumer sundries,FR0000130403,CDI.PA
BANCO SANTANDER S.A.,100106104414,Finance,Spain,Major banks,ES0113900J37,SAN.MC
RICHEMONT N,99511712107,Consumer durables,Switzerland,Other consumer specialties,CH0210483332,CFR.SW
UBS GROUP N,99468934659,Finance,Switzerland,Investment managers,CH0244767585,UBSG.SW
RIO TINTO ORD GBP0.10,98744865731,Non-energy minerals,United Kingdom,Other metals/Minerals,GB0007188757,RIO.L
FERRARI,97066113846,Consumer durables,Italy,Motor vehicles,NL0011585146,RACE.MI
ABB LTD N,95922872308,Producer manufacturing,Switzerland,Electrical products,CH0012221716,ABBN.SW
PROSUS,94927725767,Technology services,Netherlands,Internet software/Services,NL0013654783,PRX.AS
BNP PARIBAS ACT.A,92179606224,Finance,France,Major banks,FR0000131104,BNP.PA
ZURICH INSURANCE N,91945913256,Finance,Switzerland,Multi-line insurance,CH0011075394,ZURN.SW
ACCIONES IBERDROLA,91741138884,Utilities,Spain,Electric utilities,ES0144580Y14,IBE.MC
INVESTOR AB SER. A,87785667344,Finance,Sweden,Financial conglomerates,SE0015811955,INVE-A.ST
INTESA SANPAOLO,87742023282,Finance,Italy,Major banks,IT0000072618,ISP.MI
AXA,87601442550,Finance,France,Multi-line insurance,FR0000120628,CS.PA
RELX PLC ORD GBP0.1444,86007132239,Commercial services,United Kingdom,Miscellaneous commercial services,GB00B2B0DG97,REL.L
BP ORD USD0.25,83832944196,Energy minerals,United Kingdom,Integrated oil,GB0007980591,BP.L
UNICREDIT,83654536551,Finance,Italy,Major banks,IT0005239360,UCG.MI
BRITISH AMERICAN TOBACCO ORD GBP0.25,82597719664,Consumer non-durables,United Kingdom,Tobacco,GB0002875804,BATS.L
ROLLS ROYCE HOLDINGS ORD GBP0.20,81681006166,Electronic technology,United Kingdom,Aerospace & defense,GB00B63H8491,RR.L
MUENCH.RUECKVERS.VNA O.N.,78303273767,Finance,Germany,Life/Health insurance,DE0008430026,MUV2.DE
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",77265651963,Finance,Spain,Major banks,ES0113211835,BBVA.MC
ENEL,73645467626,Utilities,Italy,Electric utilities,IT0003128367,ENEL.MI
ATLAS COPCO AB SER. A,73334385300,Producer manufacturing,Sweden,Industrial machinery,SE0017486889,ATCO-A.ST
GSK PLC ORD GBP0.3125,72511559433,Health technology,United Kingdom,Pharmaceuticals: major,GB00BN7SWP63,GSK.L
LONDON STOCK EXCHANGE GROUP ORD GBP0.06918604,71030907757,Technology services,United Kingdom,Internet software/Services,GB00B0SWJX34,LSEG.L
VINCI,66607163532,Industrial services,France,Engineering & construction,FR0000125486,DG.PA
EQUINOR ASA,64938245680,Energy minerals,Norway,Integrated oil,NO0010096985,EQNR.OL
HOLCIM N,59482456249,Non-energy minerals,Switzerland,Construction materials,CH0012214059,HOLN.SW
